epoch,accuracy,loss,val_accuracy,val_loss
0,0.36908287,1.7112963364878278,0.3825578,1.696152276931682
1,0.47229093,1.420659958342532,0.46642518,1.4190453454025878
2,0.5157964,1.3064315226007528,0.50529397,1.4256543253882412
3,0.54038805,1.2383678328812802,0.5480635,1.2220349741965224
4,0.55560976,1.1930370871361082,0.52925605,1.2479013187634842
5,0.5699258,1.1585716599435483,0.571747,1.1771834485874297
6,0.58058447,1.1313412587401586,0.55865145,1.1880510138349303
7,0.58427674,1.1093701263896483,0.5757871,1.143538475368773
8,0.5979658,1.0887412717276852,0.5525216,1.2214180931934708
9,0.60280746,1.0707174545057498,0.57495123,1.1789117266986322
10,0.60719633,1.0542728593802975,0.5862357,1.1684965697727219
11,0.6151729,1.0398708514760473,0.5944553,1.133395143623437
12,0.62074614,1.0275934288264144,0.6099192,1.0585638647559095
13,0.6273294,1.0124939713961751,0.5908331,1.0926961543567335
14,0.63140476,0.9999576943156289,0.581917,1.168060874799461
15,0.6358633,0.9832666526653703,0.60922265,1.062159882112611
16,0.6395207,0.9701903163608188,0.598774,1.11398825468742
17,0.6432478,0.9629228875674758,0.61688495,1.0530715963408024
18,0.64711416,0.954208850225289,0.5972416,1.1049124445215046
19,0.64871645,0.939684441181895,0.6146559,1.0857295112445116
20,0.6544289,0.9322628753481085,0.6132628,1.0570038780922941
21,0.65627503,0.9229219180598205,0.62120366,1.0571211858790843
22,0.6580166,0.9182830152612,0.61632764,1.0571885597543087
23,0.6627887,0.9084405569643381,0.6298412,1.0395864355892948
24,0.66721237,0.8973419180280624,0.6291446,1.0324078750796357
25,0.6671427,0.8931030848689071,0.6231541,1.0433525296598134
26,0.6717406,0.8857890796090847,0.5860964,1.1656942419369396
27,0.67518896,0.8755518777512712,0.6259404,1.055536705243883
28,0.67961264,0.8674199115047012,0.6316523,1.0288935724690487
29,0.6796823,0.8628583537041155,0.60337144,1.1328545179862637
30,0.6818071,0.8595315745515159,0.6394539,1.0589777861640592
31,0.68696225,0.8482452064961233,0.6351351,1.0365990088091617
32,0.68671846,0.8391462201481931,0.6200892,1.0761232609933518
33,0.69058484,0.8346004659973253,0.616467,1.0727055074777334
34,0.69316244,0.8315370073512478,0.616467,1.066140184963138
35,0.69587934,0.8190776655239148,0.62956256,1.0889374731841874
36,0.6996064,0.8140402314006574,0.6166063,1.071136917533832
37,0.70211434,0.8064906202595873,0.61604905,1.0896655767201116
38,0.70302,0.8034275996178029,0.616467,1.072664284380607
39,0.70591104,0.794926311492322,0.6120089,1.1026223220676392
40,0.70956844,0.7858045832028048,0.62482584,1.0602106283421169
41,0.73541397,0.7204741282254461,0.6568682,0.9732493032948092
42,0.75014806,0.6860650038686166,0.66104764,0.9738202214606395
43,0.7548504,0.6710556945292661,0.6621622,0.9819027992236843
44,0.75551224,0.6689919048470719,0.6636946,0.9873169230099473
45,0.76084155,0.6511902106246744,0.66522706,0.9836243744114376
46,0.76352364,0.6442109048683162,0.65812206,0.9933181559351966
47,0.76770353,0.642453964889826,0.6624408,0.9995878405410222
48,0.7680867,0.6344267298573569,0.6614656,1.000731081692214
49,0.7692013,0.6270326162126604,0.66021174,0.999892527461218
50,0.77682954,0.6193056168963952,0.6621622,1.0049062160503635
51,0.7758543,0.6145366668533002,0.66494846,1.0078817889297795
52,0.7711867,0.616587728811353,0.6631374,1.0069870634243727
53,0.7762374,0.6107476355249163,0.66188353,1.014883023877435
54,0.7796858,0.5987500237516589,0.66522706,1.011609136775929
55,0.7797555,0.5959733038774258,0.6655057,1.0072975909686679
56,0.7831342,0.5926466649693088,0.6643912,1.0107677603671397
57,0.78188026,0.5975431805172453,0.66425186,1.0096431559392356
58,0.7805218,0.5933825246141873,0.66425186,1.0143722094477103
59,0.78470165,0.5906292930325332,0.66341597,1.0114181919262648
60,0.78198475,0.5954141507949748,0.6632767,1.0161046156746394
61,0.7807656,0.594474818099836,0.6620228,1.0168426465642721
62,0.78296006,0.592279910167713,0.66258013,1.0179704741602589
63,0.7828207,0.5907124913340057,0.6623015,1.0158707007753314
64,0.7834129,0.5907270505657398,0.6632767,1.015636554831215
65,0.7863736,0.5882933240121359,0.6614656,1.0166663528319089
66,0.7872096,0.5883368076150292,0.6621622,1.0168436296340249
67,0.7824724,0.5951770140019873,0.66188353,1.0170882351387174
68,0.7879062,0.5813988335081567,0.6623015,1.0154480444219127
69,0.7857118,0.5828196666645565,0.66118693,1.0166164492458047
70,0.78466684,0.5862819138635232,0.6620228,1.016944020264127
71,0.7860253,0.5879178692109948,0.6628587,1.0163961422745649
72,0.78630394,0.5858138732153041,0.6620228,1.0162706176163128
73,0.7865129,0.5860589789433943,0.6621622,1.0193163298338228
74,0.78522414,0.5876817585022402,0.6614656,1.0167158227605917
75,0.78578144,0.5904178152294168,0.6620228,1.0171368181888158
76,0.7854331,0.5884258626670236,0.6621622,1.0180633150790521
77,0.78619945,0.5856122502278495,0.6628587,1.0191457860481112
